cluster,gene
6,Tubb4b
6,Cdc20
6,Aspm
6,Ccnb1
6,Ckap5
6,Ube2c
6,Arhgap11a
6,Birc5
6,Kif23
6,Nusap1
7,Serpinb8
7,Gm10184
7,Gas5
7,Dnm3os
7,Chchd7
7,Cstb
7,Smtn
7,Fam172a
7,Cdkn3
7,Dlgap5
7,Mgea5
7,Opa3
7,Tax1bp1
7,Parpbp
7,Nup37
7,Gas1
7,Grem2
7,Uhrf1bp1l
7,Ccnb2
7,Brd8
7,Cdc25c
7,Nek2
7,Cmas
7,Mrps16
7,Hyls1
7,Stk11
7,Diap3
7,Bora
7,Cit
7,Rangap1
7,Tm7sf3
7,Arl2bp
7,Elp3
7,Map2k2
7,Specc1l
7,H2afx
7,Smarcb1
7,Rad23a
7,Fzr1
7,Rfk
7,Bax
7,Cdkn2d
7,Rhoq
7,Ccdc77
7,Tgif1
7,Calm2
7,Rpl13a-ps1
7,Reep4
7,Ccdc18
7,Itfg1
7,Lhfpl2
7,Zfhx4
7,Arl6ip1
7,Zbed3
7,Rab7
7,Nucks1
7,Fam198b
7,Nfe2l1
7,Mat2b
7,Tmem138
7,Ccng2
7,Ccng1
7,Chd2
7,Armcx1
7,Cep128
7,Dnajc10
7,E2f5
7,Chchd6
7,Fgfr1op
7,Ppa2
7,Rbbp6
7,Acot9
7,Rhou
7,Rad21
7,Kif14
7,Asxl1
7,Cep110
7,Ppp2r5c
7,Mesdc2
7,Pdha1
7,Mapre1
7,Gja1
7,Zfand6
7,Cdca3
7,Terf1
7,Rbms3
7,Slc7a5
7,Cpne3
7,Ptms
7,Cdc25b
7,Pcf11
7,Ddit4
7,Carkd
7,Ndufc1
7,Ncapd2
7,Mrpl51
7,Bola3
7,Uhrf2
7,Bub1b
7,Golga5
7,Spag5
7,Trappc2l
7,Psrc1
7,Dynll1
7,Vbp1
7,Gpsm2
7,Ubxn6
7,Dnajb4
7,Glrx3
7,Sar1a
7,Cenpw
7,Hn1
7,Odf2
7,Atg3
7,Echs1
7,Fzd2
7,Arl8b
7,Hexim1
7,Pnrc2
7,Atp6ap2
7,Cks1b
7,Unc50
7,Akirin2
7,Cebpb
7,C330027C09Rik
7,Cdc27
7,Cd164
7,F3
7,Pcnp
7,Hp1bp3
7,Nde1
7,Ccdc104
8,Arpc2
8,Snhg3
8,Marcksl1
8,Dhx29
8,Sbno1
8,Dnajc19
8,Socs4
8,Hnrnpc
8,Rps14
8,Gltscr2
8,Ncl
8,Csnk1a1
8,Ercc1
8,Oraov1
8,Ccnd1
8,Myeov2
8,Rala
8,Itga5
8,Serbp1
8,Naca
8,Vim
8,Impact
8,Hnrnpu
8,Snrpa
8,Sox4
8,Pycr2
8,Celf4
8,Srp9
8,Sltm
8,Hspa9
8,Rpl15
8,Pus3
8,Tsc22d1
8,Mrpl21
8,St13
8,Cwc15
8,Gpx7
8,Dhx38
8,Hspb8
8,Timm13
8,Rnf11
8,Snrpd3
8,Arl3
8,Zfp36l2
8,Strap
8,Ddx6
8,Eif2s1
8,Nrbp1
8,Hsp90ab1
8,Zfp36l1
8,Pdcd4
8,Hmgn3
8,Atp5j
8,Ikbkap
8,Tbca
8,Npm1
8,Fth1
8,Banf1
8,Psmc5
8,Hspa4
8,Slc41a1
8,Rpl32
8,Cct8
8,S100a6
8,Gm6563
8,Top1
8,Syncrip
8,Zfc3h1
8,Kdm5b
8,Mrpl38
8,Rps24
8,Gm4204
8,Tes
8,Rpl26
8,Nol8
8,Arf4
8,Tardbp
8,Gnb2l1
8,Nrf1
8,Hsp90aa1
8,Hdgf
8,Stat3
8,Zbtb38
8,Hmga2
8,Nufip2
8,Sh3glb1
8,Irf2bp2
8,Sqstm1
8,Canx
8,Rps21
8,Exo5
8,Ubtd1
8,Hspd1
8,Anp32e
8,Lmna
8,Ogfr
8,Rps3
8,Mex3a
8,Mpp1
8,Pfn1
8,Prrc2c
8,Crlf3
8,Ubtf
8,Bzw1
8,Rpl4
8,Lgals1
8,Actb
8,Ccar1
8,Adar
8,Ddx3x
8,Tlk2
8,Dcun1d5
8,Luzp1
8,Tomm70a
8,Ccdc6
8,Luc7l3
8,Gm9843
8,Rsl1d1
8,Rtn4
